path,classification,treatment,reason
architecture/repository/repository-architecture-v1.0.md,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
architecture/runtime/runtime-architecture-v1.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
architecture/runtime/runtime-core-v1.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
archive/sims-core/README.md,D,不使用・持ち込まない,旧製品履歴・移行資産であり新製品の実行資産には含めない
archive/sims-core/raw/README.md,D,不使用・持ち込まない,旧製品履歴・移行資産であり新製品の実行資産には含めない
archive/sims-core/review/adapt/README.md,D,不使用・持ち込まない,旧製品履歴・移行資産であり新製品の実行資産には含めない
archive/sims-core/review/archive/README.md,D,不使用・持ち込まない,旧製品履歴・移行資産であり新製品の実行資産には含めない
archive/sims-core/review/keep/README.md,D,不使用・持ち込まない,旧製品履歴・移行資産であり新製品の実行資産には含めない
archive/sims-core/review/remove/README.md,D,不使用・持ち込まない,旧製品履歴・移行資産であり新製品の実行資産には含めない
changes/index.yaml,B,新規記事向けに再設計,実装または構造定義を新製品仕様に合わせて再設計
claude/CLAUDE_PROJECT_INSTRUCTIONS.md,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
claude/README.md,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
claude/SETUP_GUIDE.md,C,思想のみ参照し新規作成,内容を個別確認し、必要な考え方のみ新製品へ反映
claude/TEST_CHECKLIST.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
claude/examples/EXAMPLE_REQUEST.json,B,新規記事向けに再設計,実装または構造定義を新製品仕様に合わせて再設計
claude/knowledge/SIMS_WRITER_KNOWLEDGE_PACK.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
claude/manifest.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
claude/templates/IMPROVEMENT_REQUEST_TEMPLATE.json,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
contracts/decision/action-plan/action-plan-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/action-plan/action-plan.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/action-plan/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/action-plan/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/context/context-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/context/context.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/context/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/context/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/record/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/record/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/record/record-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/decision/record/record.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/framework/contract-framework-v1.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/framework/output-contract-v1.1.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/framework/publish-quality-contract-v1.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/framework/quality-foundation-contract-v1.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/framework/sims-feedback-json-contract-v2.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/integrations/generic-json-input/generic-json-input/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/integrations/generic-json-input/generic-json-input/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/integrations/generic-json-input/generic-json-input/generic-json-input-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/integrations/generic-json-input/generic-json-input/generic-json-input.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/integrations/sims-blog-manager-input/sims-blog-manager-input/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/integrations/sims-blog-manager-input/sims-blog-manager-input/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/integrations/sims-blog-manager-input/sims-blog-manager-input/sims-blog-manager-input-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/integrations/sims-blog-manager-input/sims-blog-manager-input/sims-blog-manager-input.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/json/CONTRACT_CHANGELOG.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/json/JSON_CONTRACT_v2.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/json/SIMS_FEEDBACK_V2.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/knowledge/knowledge-assembly/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/knowledge/knowledge-assembly/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/knowledge/knowledge-assembly/knowledge-assembly-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/knowledge/knowledge-assembly/knowledge-assembly.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/operations/error/error-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/operations/error/error.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/operations/error/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/operations/error/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/operations/execution-record/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/operations/execution-record/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/operations/execution-record/execution-record-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/operations/execution-record/execution-record.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/pattern/pattern-selection/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/pattern/pattern-selection/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/pattern/pattern-selection/pattern-selection-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/pattern/pattern-selection/pattern-selection.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/planning/content-plan/content-plan-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/planning/content-plan/content-plan.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/planning/content-plan/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/planning/content-plan/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/production/content-draft/content-draft-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/production/content-draft/content-draft.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/production/content-draft/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/production/content-draft/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/publication/publication-package/examples/invalid.json,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
contracts/publication/publication-package/examples/valid.json,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
contracts/publication/publication-package/publication-package-contract.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
contracts/publication/publication-package/publication-package.schema.json,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
contracts/quality/quality-report/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/quality/quality-report/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/quality/quality-report/quality-report-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/quality/quality-report/quality-report.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/registry/contract-registry.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/request/writing-request/examples/invalid.json,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
contracts/request/writing-request/examples/valid.json,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
contracts/request/writing-request/writing-request-contract.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
contracts/request/writing-request/writing-request.schema.json,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
contracts/source/source-content/examples/invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/source/source-content/examples/valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/source/source-content/source-content-contract.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
contracts/source/source-content/source-content.schema.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/definitions/evidence/DEC-EVD-001-evidence-verification-decision.yaml,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
decision/definitions/faq/DEC-FAQ-001-faq-necessity-decision.yaml,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/definitions/improvement/DEC-IMP-001-change-scope-decision.yaml,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
decision/definitions/improvement/DEC-IMP-002-full-rewrite-necessity-decision.yaml,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
decision/definitions/internal_link/DEC-LNK-001-internal-link-action-decision.yaml,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/definitions/publication/DEC-PUB-001-publication-escalation-decision.yaml,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
decision/definitions/scope/DEC-SCP-001-article-scope-decision.yaml,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/definitions/scope/DEC-SEP-001-separate-article-decision.yaml,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/definitions/seo/DEC-SEO-001-title-change-decision.yaml,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/definitions/seo/DEC-SEO-002-h1-change-decision.yaml,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/definitions/structure/DEC-STR-001-introduction-change-decision.yaml,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
decision/definitions/structure/DEC-STR-002-heading-reorganization-decision.yaml,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
decision/framework/decision-framework-v1.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/framework/decision-glossary.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/policies/conflict-resolution-policy.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/policies/decision-selection-policy.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/policies/explainability-policy.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/policies/no-change-policy.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decision/registry/decision-registry.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0001-repository-as-single-source-of-truth.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0002-non-engine-centered-architecture.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0003-contract-driven-integration.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0004-knowledge-first-product-core.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0005-quality-by-design.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0006-model-independent-core.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0007-pattern-library-as-product-asset.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0008-golden-dataset-for-regression-quality.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
decisions/ADR-0009-decision-layer-between-knowledge-and-pattern.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0010-decision-gated-pattern-selection.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0011-runtime-core-as-contract-controlled-pipeline.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0012-provider-neutral-model-adapter.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
decisions/ADR-0013-executable-quality-rules-with-explicit-unverifiable-state.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0014-targeted-refinement-before-regeneration.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0015-golden-dataset-as-release-gate.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
decisions/ADR-0016-sims-core-knowledge-not-architecture-migration.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
decisions/ADR-0017-ctr-improvement-as-first-vertical-slice.md,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
decisions/ADR-0018-human-and-machine-output-separation.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
decisions/ADR-0019-quality-foundation-from-ten-article-regression.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
examples/decisions/decision-action-plan.invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
examples/decisions/decision-action-plan.valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
examples/decisions/decision-context.invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
examples/decisions/decision-context.valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
examples/decisions/decision-record.invalid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
examples/decisions/decision-record.valid.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
examples/feedback-v2/IMPROVEMENT_REQUIRED.json,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
examples/feedback-v2/PASS.json,B,新規記事向けに再設計,実装または構造定義を新製品仕様に合わせて再設計
examples/feedback-v2/PASS_WITH_WARNING.json,B,新規記事向けに再設計,実装または構造定義を新製品仕様に合わせて再設計
examples/model-adapters/fixture-request.json,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
examples/runtime/generic-request.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
examples/runtime/sbm-request.json,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
examples/vertical-slices/ctr-improvement/README.md,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
examples/vertical-slices/ctr-improvement/sbm-request.json,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
knowledge/blocking-rule-registry.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/confidence-model.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/content-design/KN-CDS-001-define-content-scope.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/content-design/KN-CDS-002-map-required-content-before-drafting.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/content-design/KN-CDS-003-reader-level-controls-explanation-depth.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/contradiction-pattern-registry.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/coverage-pattern-library.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/diagnosis-type-registry.md,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
knowledge/entity-consistency-rules.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/evidence-level-registry.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/factuality/KN-FAC-001-verify-time-sensitive-claims.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/factuality/KN-FAC-002-numeric-claims-need-basis.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/factuality/KN-FAC-003-separate-fact-and-opinion.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/factuality/KN-FAC-004-unable-to-verify-must-remain-visible.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/factuality/KN-FAC-005-no-unsupported-performance-forecast.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/framework/assembly-policy.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/framework/confidence-policy.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/framework/knowledge-architecture-v1.0.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/framework/review-policy.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/framework/source-policy.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/lessons-learned/KN-LES-001-engine-structure-is-not-product-knowledge.md,A,複製後に名称・参照のみ調整,新規記事にも直接適用できる汎用品質・事実性・記事構造資産
knowledge/lessons-learned/KN-LES-002-extract-decisions-not-prompt-wording.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-001.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-002.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-003.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-004.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-005.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-006.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-007.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-008.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-009.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-010.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-011.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/LL-SC-012.md,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/lessons-learned/sims-core/registry.yaml,C,思想のみ参照し新規作成,運用思想・検証方法を参考にし、新製品専用として新規作成
knowledge/operations/KN-OPS-001-targeted-revision-before-full-rewrite.md,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
knowledge/operations/KN-OPS-002-track-before-and-after.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/operations/KN-OPS-003-do-not-promote-single-outcomes.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/operations/KN-OPS-004-separate-user-output-and-feedback.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/operations/KN-OPS-005-change-flags-must-match-output.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/operations/KN-OPS-006-internal-link-three-way-classification.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/operations/KN-OPS-007-improvement-necessity-judgment.md,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
knowledge/operations/KN-OPS-008-editorial-change-accountability.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/operations/KN-OPS-009-v2-contract-is-authoritative.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/operations/KN-OPS-010-markdown-before-after.md,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
knowledge/operations/KN-OPS-011-specialist-risk-validation.md,B,新規記事向けに再設計,基本思想を維持しつつ新規記事ワークフロー・Contractへ再設計
knowledge/preservation-signal-registry.md,D,不使用・持ち込まない,SIMS Writerの既存記事改善・GSC診断・保護制御に固有のため不使用
